pclass,sex,agec,survived
1,1.0,male,kid,1.0
4,1.0,female,adult,0.0
5,1.0,male,adult,1.0
7,1.0,male,adult,0.0
8,1.0,female,adult,1.0
9,1.0,male,third_age,0.0
10,1.0,male,adult,0.0
12,1.0,female,adult,1.0
13,1.0,female,adult,1.0
14,1.0,male,third_age,1.0
15,1.0,male,adult,0.0
17,1.0,female,adult,1.0
20,1.0,male,adult,1.0
21,1.0,female,adult,1.0
22,1.0,male,adult,1.0
26,1.0,male,adult,1.0
27,1.0,female,kid,1.0
29,1.0,male,adult,1.0
31,1.0,male,adult,1.0
32,1.0,female,adult,1.0
33,1.0,female,adult,1.0
34,1.0,male,adult,0.0
35,1.0,female,adult,1.0
36,1.0,female,adult,1.0
38,1.0,male,adult,0.0
39,1.0,male,adult,0.0
40,1.0,male,adult,0.0
41,1.0,female,adult,1.0
42,1.0,female,adult,1.0
43,1.0,female,adult,1.0
45,1.0,male,adult,0.0
46,1.0,male,adult,0.0
47,1.0,male,adult,1.0
48,1.0,female,adult,1.0
51,1.0,male,adult,0.0
53,1.0,male,kid,0.0
54,1.0,male,kid,1.0
55,1.0,female,kid,1.0
57,1.0,female,adult,1.0
61,1.0,female,third_age,1.0
64,1.0,male,adult,1.0
66,1.0,female,adult,1.0
67,1.0,female,adult,1.0
68,1.0,male,adult,1.0
69,1.0,female,adult,1.0
70,1.0,male,adult,0.0
71,1.0,male,adult,0.0
73,1.0,female,adult,1.0
74,1.0,male,adult,0.0
77,1.0,male,adult,0.0
78,1.0,female,third_age,1.0
81,1.0,male,third_age,0.0
82,1.0,female,adult,1.0
84,1.0,male,adult,0.0
85,1.0,female,adult,1.0
87,1.0,male,adult,1.0
89,1.0,male,adult,0.0
90,1.0,female,adult,1.0
91,1.0,male,adult,1.0
92,1.0,female,kid,1.0
93,1.0,male,adult,1.0
95,1.0,female,adult,1.0
96,1.0,male,adult,0.0
97,1.0,female,adult,1.0
98,1.0,female,adult,1.0
100,1.0,male,adult,1.0
104,1.0,female,adult,1.0
105,1.0,female,adult,0.0
106,1.0,male,adult,0.0
107,1.0,female,adult,1.0
108,1.0,female,adult,1.0
110,1.0,male,adult,0.0
112,1.0,female,adult,1.0
115,1.0,male,third_age,0.0
116,1.0,female,adult,1.0
117,1.0,female,adult,1.0
118,1.0,male,adult,0.0
119,1.0,male,adult,1.0
120,1.0,male,adult,1.0
122,1.0,female,adult,1.0
123,1.0,male,adult,1.0
127,1.0,female,adult,1.0
128,1.0,male,adult,0.0
129,1.0,female,adult,1.0
130,1.0,female,adult,1.0
131,1.0,female,adult,1.0
133,1.0,male,adult,1.0
136,1.0,male,adult,1.0
137,1.0,female,kid,1.0
138,1.0,male,adult,0.0
139,1.0,female,adult,1.0
140,1.0,male,adult,1.0
141,1.0,female,adult,1.0
142,1.0,male,adult,0.0
143,1.0,male,adult,1.0
144,1.0,female,adult,1.0
145,1.0,male,adult,1.0
146,1.0,female,adult,1.0
147,1.0,male,adult,0.0
148,1.0,male,adult,0.0
149,1.0,female,adult,1.0
150,1.0,male,adult,0.0
151,1.0,male,adult,1.0
152,1.0,male,adult,1.0
155,1.0,female,adult,1.0
156,1.0,male,adult,0.0
157,1.0,male,adult,0.0
158,1.0,male,adult,0.0
